location,animal,user,sn,an,datatype,start,end,startreason,endreason,entct,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,emptyct,emptydur,stdate,sttime
c065,F05,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c066,F06,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c066,F06,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c067,F07,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c067,F07,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c068,F08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c068,F08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c069,F09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c069,F09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c070,F10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c070,F10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c071,F11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c071,F11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c072,F12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c072,F12,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c073,G01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
